Name,Date,Volume,Open,High,Low,Close,Adj_Close,Daily_Returns,30-day_arithmetic_returns,Volatility
AAPL,31/03/2021,118323800,121.6500015,123.5199966,121.1500015,122.1500015,120.5304184,0.018765587,-0.002056781,0.001710542
ADBE,31/03/2021,3155900,469.7000122,482.4100037,468.7000122,475.3699951,475.3699951,0.021290774,-0.000852317,0.001263202
AMD,31/03/2021,43659500,76.56999969,79.12999725,76.51999664,78.5,78.5,0.032894737,-0.004081434,0.001859832
AMZN,31/03/2021,61878000,153.2030029,155.966507,153.125,154.7039948,154.7039948,0.012696006,-0.002091924,0.001345714
ASC,31/03/2021,240500,4.409999847,4.590000153,4.360000134,4.539999962,4.428664684,0.029478457,0.003801823,0.004492626
BABA,31/03/2021,16825400,229.8899994,231.5200043,226.4700012,226.7299957,226.7299957,-0.010992385,-0.005649679,0.003229014
BIDU,31/03/2021,20366800,222,222.1100006,213.6600037,217.5500031,217.5500031,-0.003115945,-0.009690613,0.008097537
CRM,31/03/2021,6838000,210.4400024,213.6699982,210.1100006,211.8699951,211.8699951,0.008904739,-0.004986551,0.002797575
CSCO,31/03/2021,22212400,51.83000183,52.04999924,51.54999924,51.70999908,48.35063553,-0.001158908,0.003836584,0.001314913
FLTR,31/03/2021,98300,25.38999939,25.38999939,25.37000084,25.37999916,24.2291317,0,-1.93E-05,7.75E-05
GOOGL,31/03/2021,42570000,102.7200012,104.3130035,102.3499985,103.1259995,103.1259995,0.007842753,-0.000745509,0.002718487
IBM,31/03/2021,5172575,128.6233215,128.7858582,126.8738022,127.3996201,114.1323395,-0.010837341,0.003601037,0.002204373
INTC,31/03/2021,33013200,64.01000214,64.48999786,63.58000183,64,59.39528275,0.003606834,0.001454143,0.002093731
JD,31/03/2021,10140600,83.68000031,85.22499847,83.23000336,84.33000183,81.03581238,0.016024188,-0.007399499,0.003853236
MSFT,31/03/2021,43623500,232.9100037,239.1000061,232.3899994,235.7700043,231.0878906,0.016907458,-0.001042944,0.001802254
NFLX,31/03/2021,3503100,515.6699829,528.1300049,515.4400024,521.6599731,521.6599731,0.01610853,-0.00160763,0.002754449
NVDA,31/03/2021,31477600,130.1549988,134.7050018,129.8249969,133.4824982,133.2647858,0.03701909,-0.003084819,0.002870468
ORCL,31/03/2021,9971700,70.69999695,71.09999847,69.91000366,70.16999817,67.64850616,-0.005386298,0.004350994,0.001704994
PYPL,31/03/2021,7633400,238.1100006,245.2299957,237.2700043,242.8399963,242.8399963,0.026633987,-0.006176732,0.004411367
QCOM,31/03/2021,8361300,130.9600067,133.5200043,130.5700073,132.5899963,127.2683182,0.019060615,-0.002434,0.001971321
SNAP,31/03/2021,26444600,50.56999969,53.29499817,49.97000122,52.29000092,52.29000092,0.054021372,-0.004780619,0.005678791
SQ,31/03/2021,14453700,218.4100037,232.7599945,218.4100037,227.0500031,227.0500031,0.066813895,-0.004766278,0.00438703
TCEHY,31/03/2021,3769500,79.30000305,80.45999908,78.70999908,79.80000305,74.6740036,0.012305071,-0.006116352,0.005086976
