Name,Date,Volume,Open,High,Low,Close,Adj_Close,Daily_Returns,30-day_arithmetic_returns,Volatility
AAPL,29/03/2019,94256000,47.45750046,47.52000046,47.13499832,47.48749924,45.89670181,0.006517767,0.003620127,0.000797596
ADBE,29/03/2019,2097400,265.4700012,266.75,264.2000122,266.4899902,266.4899902,0.011232085,0.000878954,0.001423962
AMD,29/03/2019,53502800,25.57999992,25.72999954,25.25,25.52000046,25.52000046,0.018355986,0.003834656,0.002888459
AMZN,29/03/2019,66416000,89.32900238,89.64299774,88.83149719,89.03749847,89.03749847,0.004133266,0.003185035,0.001489804
ASC,29/03/2019,202500,6.099999905,6.260000229,6.03000021,6.159999847,5.959764004,0.013157847,0.004201106,0.00253639
BABA,29/03/2019,13850900,180.7299957,182.6000061,179,182.4499969,182.4499969,0.026557145,0.002808083,0.002001116
BIDU,29/03/2019,2695100,165.6499939,166,163.4600067,164.8500061,164.8500061,0.004509204,-0.001698935,0.001248758
CRM,29/03/2019,4913100,156.8699951,158.5,155.4299927,158.3699951,158.3699951,0.020556789,-0.000139196,0.001723582
CSCO,29/03/2019,19582300,53.70000076,54,53.36000061,53.99000168,47.44697189,0.011806583,0.003686885,0.000707992
FLTR,29/03/2019,213800,25.15999985,25.18000031,25.14999962,25.17000008,23.04708672,0.000795448,0.000273888,0.000133796
GOOGL,29/03/2019,30890000,59.00899887,59.19850159,58.31900024,58.8445015,58.8445015,0.00394112,0.001437761,0.000760133
IBM,29/03/2019,3244064,134.321228,135.0095673,133.986618,134.8948364,109.3847961,0.00843355,0.001138365,0.002035575
INTC,29/03/2019,18736100,53.79999924,54.04000092,53.47999954,53.70000076,47.45627213,0.011108856,0.001906596,0.000948473
JD,29/03/2019,22128200,29.77000046,30.53000069,29.69000053,30.14999962,28.97224808,0.025161531,0.007463309,0.001913643
MSFT,29/03/2019,25399800,118.0699997,118.3199997,116.9599991,117.9400024,112.9406662,0.00863729,0.003474995,0.000891217
NFLX,29/03/2019,4705600,357.1600037,358.25,353.7099915,356.5599976,356.5599976,0.005499034,-9.76E-05,0.002084748
NVDA,29/03/2019,45689600,44.98500061,45.13499832,44.47750092,44.88999939,44.59943008,0.013032595,0.005318676,0.002395166
ORCL,29/03/2019,11485700,53.47000122,53.74000168,53.25,53.70999908,50.03814697,0.009776368,0.001462512,0.000899381
PYPL,29/03/2019,5625500,104.5199966,104.6999969,103.4599991,103.8399963,103.8399963,-0.000192608,0.003230325,0.000855145
QCOM,29/03/2019,8529100,57,57.56000137,56.93999863,57.02999878,51.82362747,0.008487768,0.003808002,0.002943357
SNAP,29/03/2019,13317000,10.85999966,11.06000042,10.77000046,11.02000046,11.02000046,0.02131608,0.006502679,0.004385499
SQ,29/03/2019,6437100,74.62000275,75.54000092,74.25,74.91999817,74.91999817,0.008887638,-0.000114516,0.003343558
TCEHY,29/03/2019,3690100,45.88999939,46.20999908,45.66999817,45.97999954,42.79400635,0.020190848,0.002503008,0.00081917
THG,29/03/2019,184400,114.5500031,114.8700027,113.7600021,114.1699982,102.6228409,-0.000875228,-0.000550754,0.001217359
TRN,29/03/2019,1340400,21.86000061,21.86000061,21.57999992,21.72999954,18.69208336,0.003695121,-0.004156475,0.003423182
TSLA,29/03/2019,89869500,18.57999992,18.67733383,18.29999924,18.65733337,18.65733337,0.004450491,-0.00234672,0.001834998
