Name,Date,Volume,Open,High,Low,Close,Adj_Close,Daily_Returns,30-day_arithmetic_returns,Volatility
AAPL,31/03/2020,197002000,63.90000153,65.62249756,63,63.57249832,62.24708176,-0.002040845,-0.005920857,0.003396035
ADBE,31/03/2020,6413700,316.4100037,326.3299866,312.6799927,318.2399902,318.2399902,-0.000471197,-0.003850322,0.003102976
AMD,31/03/2020,83483700,47.93000031,48.52999878,45.15999985,45.47999954,45.47999954,-0.049728396,-0.005249608,0.003114232
AMZN,31/03/2020,102472000,98.21749878,99.65100098,97.20050049,97.48600006,97.48600006,-0.007245623,-0.002662363,0.002554779
ASC,31/03/2020,418100,5.369999886,5.650000095,5.059999943,5.25,5.12125349,-0.06583625,-0.001691227,0.003492287
BABA,31/03/2020,19084800,192,196.7899933,190.6000061,194.4799957,194.4799957,0.016782513,-0.003664893,0.00198358
BIDU,31/03/2020,4088000,98.54000092,105.25,98.54000092,100.7900009,100.7900009,0.018595291,-0.008613768,0.003630083
CRM,31/03/2020,10429700,149.0299988,151.9499969,142.7799988,143.9799957,143.9799957,-0.039172574,-0.007910038,0.004119813
CSCO,31/03/2020,26014200,40.13000107,40.41999817,39.11000061,39.31000137,35.50826263,-0.02504955,-0.004099432,0.002628115
FLTR,31/03/2020,62200,23.38999939,23.69000053,23.38999939,23.62000084,22.26969719,0.014605313,-0.002029635,0.001864751
GOOGL,31/03/2020,65228000,57.43650055,58.66999817,56.83599854,58.09749985,58.09749985,0.013643805,-0.007814409,0.004000947
IBM,31/03/2020,6635092,107.0745697,108.8049698,105.3250504,106.0516281,90.01303864,-0.017710239,-0.008947675,0.005998465
INTC,31/03/2020,48074700,55.06000137,55.79999924,53.22000122,54.11999893,48.95175171,-0.024689128,-0.004067471,0.004463083
JD,31/03/2020,13864300,40.52000046,40.99000168,39.97000122,40.5,38.91794586,0.002723503,-0.000304431,0.00174989
MSFT,31/03/2020,77927200,159.3999939,164.7799988,156.5599976,157.7100067,153.0230408,-0.015727524,-0.003781469,0.00388534
NFLX,31/03/2020,9366500,367.9299927,383.0100098,366.4400024,375.5,375.5,0.012238539,4.24E-05,0.002901599
NVDA,31/03/2020,94996000,66.80000305,68.84999847,64.4375,65.90000153,65.70075226,-0.007492733,-0.001194959,0.003690528
ORCL,31/03/2020,15802000,51.11999893,51.18000031,48,48.33000183,45.81623077,-0.040309793,-0.002654677,0.00214047
PYPL,31/03/2020,9881400,96.37999725,99.43099976,94.87000275,95.73999786,95.73999786,-0.013294867,-0.006160688,0.003502113
QCOM,31/03/2020,13213900,69.30000305,70.36000061,66.66000366,67.65000153,63.51465988,-0.01999131,-0.00650433,0.003098745
SNAP,31/03/2020,32326900,11.64999962,12.60000038,11.63000011,11.89000034,11.89000034,0.003375524,-0.010029789,0.006754476
SQ,31/03/2020,18349400,54.68999863,55.24000168,51.13499832,52.38000107,52.38000107,-0.047636344,-0.011192324,0.010216745
TCEHY,31/03/2020,2589900,48.5,49.52999878,48.5,49.09000015,45.81354904,-0.011079845,-0.001665764,0.001962511
THG,31/03/2020,361000,91.90000153,92.54000092,90.26999664,90.58000183,84.60203552,-0.02265856,-0.012217043,0.005230188
TRN,31/03/2020,2013100,15.81000042,16.43000031,15.59000015,16.06999969,14.31782055,0.00815559,-0.008891777,0.004116424
TSLA,31/03/2020,266572500,33.41666794,36.19733429,33.1333313,34.93333435,34.93333435,0.043554462,-0.01284239,0.014665623
AAPL,01/04/2020,176218400,61.625,62.18000031,59.78250122,60.22750092,58.97183228,-0.052616916,-0.00815751,0.003194823
ADBE,01/04/2020,3903000,307,309.6099854,298.3200073,301.2099915,301.2099915,-0.053513069,-0.006023866,0.002963728
AMD,01/04/2020,92083100,44.18000031,46.84999847,43.15999985,43.65999985,43.65999985,-0.040017584,-0.007761241,0.002835937
AMZN,01/04/2020,82438000,96.64849854,97.2480011,94.65000153,95.38500214,95.38500214,-0.021551791,-0.003605745,0.002433693
